IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.203.143.112,2053,80,false,ZRH,Europe,Zurich,150,3.29
20.203.143.112,2096,80,false,ZRH,Europe,Zurich,156,3.28
20.203.143.117,2082,80,false,ZRH,Europe,Zurich,150,3.26
20.203.143.112,2052,80,false,ZRH,Europe,Zurich,150,3.25
20.203.143.114,2053,80,false,ZRH,Europe,Zurich,149,3.24
20.203.143.117,2087,80,false,ZRH,Europe,Zurich,149,3.23
20.203.143.114,2082,80,false,ZRH,Europe,Zurich,150,3.22
20.203.143.114,2086,80,false,ZRH,Europe,Zurich,149,3.21
20.203.143.117,2052,80,false,ZRH,Europe,Zurich,149,3.21
20.203.143.117,2086,80,false,ZRH,Europe,Zurich,149,3.20
20.203.143.114,2087,80,false,ZRH,Europe,Zurich,149,3.19
20.203.143.117,2095,80,false,ZRH,Europe,Zurich,153,3.18
20.203.143.112,2087,80,false,ZRH,Europe,Zurich,153,3.17
20.203.143.112,2086,80,false,ZRH,Europe,Zurich,150,3.16
20.203.143.114,2095,80,false,ZRH,Europe,Zurich,149,3.14
20.203.143.114,2096,80,false,ZRH,Europe,Zurich,149,3.13
20.203.143.114,2083,80,false,ZRH,Europe,Zurich,149,3.13
20.203.143.117,2096,80,false,ZRH,Europe,Zurich,149,3.13
20.203.143.112,2082,80,false,ZRH,Europe,Zurich,149,3.02
20.203.143.112,2083,80,false,ZRH,Europe,Zurich,150,2.93
20.203.143.112,2095,80,false,ZRH,Europe,Zurich,150,2.91
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,173,2.78
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,174,2.78
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,174,2.76
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,173,2.75
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,174,2.74
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,174,2.74
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,180,2.74
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,173,2.73
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,174,2.72
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,173,2.71
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,2.70
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,173,2.67
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,173,2.67
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,175,2.64
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,173,2.63
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,173,2.62
51.107.6.138,8443,443,true,MXP,Europe,Milan,184,1.79
51.107.6.128,8443,443,true,MXP,Europe,Milan,151,1.77
51.107.13.85,8443,443,true,MXP,Europe,Milan,150,1.69
51.107.6.231,8443,443,true,MXP,Europe,Milan,150,1.65
51.107.6.220,8443,443,true,MXP,Europe,Milan,150,1.63
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.66
51.11.142.112,80,0,false,LHR,Europe,London,155,0.17
20.157.120.71,80,0,false,LHR,Europe,London,155,0.14
20.92.32.172,80,0,false,SYD,Oceania,Sydney,85,0.11
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,158,0.09
40.115.253.187,8080,0,false,HKG,Asia Pacific,Hong Kong,67,0.09
40.115.253.187,80,0,false,HKG,Asia Pacific,Hong Kong,67,0.08
20.204.122.49,443,0,false,BOM,Asia Pacific,Mumbai,60,0.08
20.204.122.49,80,0,false,BOM,Asia Pacific,Mumbai,60,0.07
20.102.24.191,80,0,false,IAD,North America,Ashburn,229,0.07
20.70.120.90,80,0,false,SYD,Oceania,Sydney,84,0.06
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,54,0.06
20.243.87.182,80,0,false,HKG,Asia Pacific,Hong Kong,66,0.06
172.162.242.200,80,0,false,MXP,Europe,Milan,155,0.05
20.204.122.49,443,0,true,BOM,Asia Pacific,Mumbai,62,0.05
20.22.128.5,80,0,false,IAD,North America,Ashburn,232,0.04
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,157,0.03
20.81.104.97,80,443,false,IAD,North America,Ashburn,229,0.02
40.83.203.12,80,0,false,SJC,North America,San Jose,169,0.01
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.01
20.240.40.44,80,0,false,CPH,Europe,Copenhagen,178,0.00
20.243.248.205,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.18.32.188,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
74.226.216.102,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.89.149.18,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.18.32.188,443,0,false,NRT,Asia Pacific,Tokyo,70,0.00
